Date,Title,ppc_Title,Tokens,Stop_tokens,Sentiment_Word,Pos_Word,Neg_Word,Zero_Word,Score
2023-11-06,"뮤지컬 ‘안나, 차이코프스키’ 공연 실황.. 네이버NOW+네이버TV 후원라이브",뮤지컬  안나  차이코프스키  공연 실황   네이버NOW 네이버TV 후원라이브,"['뮤지컬', '차이코프스키', '공연', '실황', '네이버', '네이버', '후원', '라이브']",뮤지컬 차이코프스키 공연 실황 후원 라이브,,,,"뮤지컬, 차이코프스키, 공연, 실황, 후원, 라이브",0
2023-11-06,"네이버, 영업이익 3,802억원 사상최고..주가 상승세",네이버  영업이익 3 802억원 사상최고  주가 상승세,"['네이버', '영업', '이익', '사상', '최고', '주가', '상승세']",영업 이익 사상 최고 주가 상승세,"이익, 사상, 최고, 주가, 상승세","이익, 최고, 상승세",,"영업, 사상, 주가",4
2023-11-06,"유진투자 ""네이버, 성장률 감소 불가피…광고 회복·AI 수익화가 관건""",유진투자  네이버  성장률 감소 불가피 광고 회복 AI 수익화가 관건,"['유진', '투자', '네이버', '성장', '감소', '광고', '회복', '수익', '관건']",유진 투자 성장 감소 광고 회복 수익 관건,"투자, 성장, 광고, 회복, 수익, 관건","투자, 성장, 회복, 수익",관건,"유진, 감소, 광고",3
2023-11-06,"비상하는 네이버, 비상 걸린 카카오",비상하는 네이버  비상 걸린 카카오,"['비상', '네이버', '비상', '카카오']",비상 비상 카카오,"비상, 비상, 카카오",,"비상, 비상",카카오,-2
2023-11-06,"""네이버, 3Q 커머스·핀테크·콘텐츠 고성장 지속"" -유안타",네이버  3Q 커머스 핀테크 콘텐츠 고성장 지속   유안타,"['네이버', '커머스', '핀테크', '콘텐츠', '성장', '지속', '유', '안타']",커머스 핀테크 콘텐츠 성장 지속 유 안타,"핀테크, 성장",성장,,"커머스, 핀테크, 콘텐츠, 지속, 유, 안타",1
2023-11-06,"네이버, 어렵지만 잘했다…""매수하라"" 목표주가 29만원-유안타",네이버  어렵지만 잘했다  매수하라  목표주가 29만원 유안타,"['네이버', '매수', '목표', '주가', '유', '안타']",매수 목표 주가 유 안타,"매수, 목표, 주가","매수, 목표",,"주가, 유, 안타",2
2023-11-06,"고려은단, 6일 네이버 브랜드데이&쇼핑라이브 진행",고려은단  6일 네이버 브랜드데이 쇼핑라이브 진행,"['고려은단', '네이버', '브랜드', '데이', '쇼핑', '라이브', '진행']",고려은단 브랜드 데이 쇼핑 라이브 진행,진행,진행,,"고려은단, 브랜드, 데이, 쇼핑, 라이브",1
2023-11-06,"다에리소프트, 네이버웹툰 '99강화나무몽둥이', '나 혼자 만렙 뉴비' 게임 개...",다에리소프트  네이버웹툰  99강화나무몽둥이    나 혼자 만렙 뉴비  게임 개,"['다에리', '소프트', '네이버웹툰', '강', '몽둥이', '랩', '뉴비', '게임', '개']",다에리 소프트 네이버웹툰 강 몽둥이 랩 뉴비 게임 개,게임,,,"다에리, 소프트, 네이버웹툰, 강, 몽둥이, 랩, 뉴비, 게임, 개",0
2023-11-06,"현대차증권 ""네이버 3분기 수익성 합격점, 웹툰과 핀테크 성장도 긍정적""",현대차증권  네이버 3분기 수익성 합격점  웹툰과 핀테크 성장도 긍정적,"['현대차', '증권', '네이버', '분기', '수익', '합격', '점', '웹툰', '핀테크', '성장', '긍정']",현대차 증권 분기 수익 합격 점 웹툰 핀테크 성장 긍정,"현대차, 증권, 분기, 수익, 핀테크, 성장, 긍정","수익, 성장, 긍정",,"현대차, 증권, 분기, 합격, 점, 웹툰, 핀테크",3
2023-11-06,"오므론 혈압계 50주년 맞이 네이버, 쿠팡 브랜드위크 진행",오므론 혈압계 50주년 맞이 네이버  쿠팡 브랜드위크 진행,"['혈압', '맞이', '네이버', '쿠팡', '브랜드', '위크', '진행']",혈압 맞이 쿠팡 브랜드 위크 진행,"쿠팡, 진행",진행,,"혈압, 맞이, 쿠팡, 브랜드, 위크",1
2023-11-06,"현대차증권, ""네이버 영업이익 최고치...목표가↑""",현대차증권   네이버 영업이익 최고치   목표가,"['현대차', '증권', '네이버', '영업', '이익', '최고', '목표']",현대차 증권 영업 이익 최고 목표,"현대차, 증권, 이익, 최고, 목표","이익, 최고, 목표",,"현대차, 증권, 영업",4
2023-11-06,"MZ세대를 사로잡은 TCL 한국 상륙, 네이버 공식 스마트스토어 개설",MZ세대를 사로잡은 TCL 한국 상륙  네이버 공식 스마트스토어 개설,"['세대', '한국', '상륙', '네이버', '공식', '스마트', '스토어', '개설']",세대 한국 상륙 공식 스마트 스토어 개설,"한국, 상륙, 스마트","상륙, 스마트",,"세대, 한국, 공식, 스토어, 개설",2
