Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,199900.0,204000.0,199900.0,204000.0,202795.71875,547388
2023-06-02,204500.0,205000.0,202500.0,204500.0,203292.765625,405330
2023-06-05,205500.0,206500.0,204000.0,204500.0,203292.765625,428762
2023-06-07,206500.0,208000.0,204000.0,205000.0,203789.828125,553505
2023-06-08,203000.0,203500.0,200000.0,200500.0,199316.390625,717690
2023-06-09,202000.0,205000.0,200500.0,200500.0,199316.390625,546093
2023-06-12,202500.0,203500.0,199700.0,200500.0,199316.390625,417698
2023-06-13,202000.0,203000.0,199600.0,201000.0,199813.4375,565013
2023-06-14,201000.0,202000.0,198300.0,199200.0,198024.0625,666340
2023-06-15,200000.0,202500.0,199900.0,200500.0,199316.390625,557684
2023-06-16,202500.0,204500.0,202000.0,202500.0,201304.578125,751013
2023-06-19,202500.0,202500.0,198500.0,198600.0,197427.59375,669785
2023-06-20,199500.0,201000.0,197900.0,198500.0,197328.203125,437974
2023-06-21,199100.0,199200.0,189900.0,189900.0,188778.96875,1358963
2023-06-22,189400.0,193200.0,189300.0,191300.0,190170.703125,580244
2023-06-23,191500.0,192000.0,188900.0,188900.0,187784.859375,689964
2023-06-26,187700.0,191200.0,187600.0,188900.0,187784.859375,489487
2023-06-27,188000.0,188000.0,184100.0,185900.0,184802.578125,877288
2023-06-28,187500.0,188100.0,182800.0,184800.0,183709.0625,717140
2023-06-29,183800.0,186200.0,183400.0,183400.0,182727.6875,578195
2023-06-30,183300.0,184500.0,180600.0,182800.0,182129.875,683584
2023-07-03,182800.0,190600.0,182800.0,189300.0,188606.046875,869777
2023-07-04,188200.0,190200.0,186700.0,188700.0,188008.25,491576
2023-07-05,188000.0,190200.0,186500.0,186500.0,185816.3125,686759
2023-07-06,185500.0,196200.0,185500.0,195500.0,194783.328125,1503767
2023-07-07,195600.0,197300.0,193800.0,195000.0,194285.15625,832803
2023-07-10,195000.0,196300.0,192700.0,193200.0,192491.75,509523
